
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2025-06-16 00:00:48 /api/ws-token ................................ ~ 0.60ms
  2025-06-16 00:00:48 /api/user/profile ............................ ~ 0.85ms
  2025-06-16 00:00:48 /api/ws-token ................................ ~ 0.05ms
  2025-06-16 00:00:48 /api/ws-token .............................. ~ 500.52ms
  2025-06-16 00:00:48 /api/conversations ......................... ~ 500.85ms
  2025-06-16 00:00:48 /api/conversations ......................... ~ 500.82ms
  2025-06-16 00:00:49 /api/user/profile ............................ ~ 0.08ms
  2025-06-16 00:00:49 /api/user/profile ............................ ~ 0.25ms
  2025-06-16 00:03:03 /api/ws-token ................................ ~ 0.07ms
  2025-06-16 00:03:03 /api/ws-token ................................ ~ 0.23ms
  2025-06-16 00:03:11 /api/ws-token ................................ ~ 0.07ms
  2025-06-16 00:03:11 /api/ws-token ................................ ~ 0.26ms
  2025-06-16 00:03:41 /api/ws-token ................................ ~ 0.24ms
  2025-06-16 00:03:41 /api/ws-token ................................ ~ 0.96ms
  2025-06-16 00:03:41 /api/user/profile ............................ ~ 1.58ms
  2025-06-16 00:03:41 /api/user/profile ............................ ~ 2.21ms
  2025-06-16 00:03:41 /api/ws-token ................................ ~ 0.19ms
  2025-06-16 00:03:41 /api/conversations ........................... ~ 0.80ms
  2025-06-16 00:03:41 /api/conversations ........................... ~ 1.32ms
  2025-06-16 00:03:41 /api/ws-token ................................ ~ 1.91ms
